,Date,Month,Year,> Western Australia ;  Unemployment rate ;  Persons ;,> Western Australia ;  Unemployment rate ;  > Males ;,> Western Australia ;  Unemployment rate ;  > Females ;
233,Dec-10,Dec,2010,3.9,3.8,4.1
234,Jan-11,Jan,2011,4.9,4.5,5.3
235,Feb-11,Feb,2011,4.7,4.3,5.3
236,Mar-11,Mar,2011,4.7,4.3,5.1
237,Apr-11,Apr,2011,4.1,3.8,4.5
238,May-11,May,2011,4.2,4.1,4.4
239,Jun-11,Jun,2011,4.2,4.4,4.0
240,Jul-11,Jul,2011,3.8,3.6,4.0
241,Aug-11,Aug,2011,4.3,4.5,4.0
242,Sep-11,Sep,2011,4.4,4.5,4.3
243,Oct-11,Oct,2011,3.9,4.0,3.8
244,Nov-11,Nov,2011,3.9,4.0,3.8
245,Dec-11,Dec,2011,3.8,3.8,3.9
246,Jan-12,Jan,2012,4.4,4.6,4.1
247,Feb-12,Feb,2012,4.3,3.9,4.7
248,Mar-12,Mar,2012,4.4,3.8,5.2
249,Apr-12,Apr,2012,3.8,3.4,4.3
250,May-12,May,2012,3.8,3.2,4.6
251,Jun-12,Jun,2012,3.5,2.5,4.7
252,Jul-12,Jul,2012,3.5,3.1,4.0
253,Aug-12,Aug,2012,3.8,3.5,4.1
254,Sep-12,Sep,2012,4.2,3.8,4.6
255,Oct-12,Oct,2012,4.4,4.1,4.8
256,Nov-12,Nov,2012,3.8,3.7,3.9
257,Dec-12,Dec,2012,4.0,3.9,4.1
258,Jan-13,Jan,2013,4.3,4.2,4.4
259,Feb-13,Feb,2013,5.1,5.0,5.2
260,Mar-13,Mar,2013,5.3,4.9,5.7
261,Apr-13,Apr,2013,5.4,5.2,5.6
262,May-13,May,2013,4.9,4.4,5.6
263,Jun-13,Jun,2013,4.6,4.5,4.6
264,Jul-13,Jul,2013,4.3,4.8,3.7
265,Aug-13,Aug,2013,4.8,4.4,5.2
266,Sep-13,Sep,2013,4.7,4.6,4.9
267,Oct-13,Oct,2013,3.9,4.6,3.1
268,Nov-13,Nov,2013,3.7,3.9,3.5
269,Dec-13,Dec,2013,4.2,4.3,4.0
270,Jan-14,Jan,2014,5.4,5.3,5.6
271,Feb-14,Feb,2014,6.5,6.4,6.7
272,Mar-14,Mar,2014,5.4,5.0,5.8
273,Apr-14,Apr,2014,5.0,5.0,5.0
274,May-14,May,2014,5.0,4.8,5.3
275,Jun-14,Jun,2014,4.9,4.9,4.9
276,Jul-14,Jul,2014,4.9,5.0,4.8
277,Aug-14,Aug,2014,4.8,4.7,4.8
278,Sep-14,Sep,2014,5.0,5.2,4.8
279,Oct-14,Oct,2014,4.9,5.3,4.3
280,Nov-14,Nov,2014,4.5,4.7,4.2
281,Dec-14,Dec,2014,5.5,5.3,5.7
282,Jan-15,Jan,2015,5.9,5.5,6.3
283,Feb-15,Feb,2015,6.4,6.2,6.6
284,Mar-15,Mar,2015,6.0,5.9,6.1
285,Apr-15,Apr,2015,5.9,6.0,5.8
286,May-15,May,2015,5.0,5.5,4.4
287,Jun-15,Jun,2015,5.8,6.0,5.4
288,Jul-15,Jul,2015,6.3,6.8,5.7
289,Aug-15,Aug,2015,5.9,6.5,5.2
290,Sep-15,Sep,2015,5.9,6.0,5.8
291,Oct-15,Oct,2015,6.0,6.3,5.5
292,Nov-15,Nov,2015,5.5,4.9,6.3
293,Dec-15,Dec,2015,6.0,5.9,6.0
294,Jan-16,Jan,2016,6.1,6.6,5.6
295,Feb-16,Feb,2016,6.6,6.8,6.5
296,Mar-16,Mar,2016,5.9,6.1,5.6
297,Apr-16,Apr,2016,5.7,5.6,5.8
298,May-16,May,2016,5.7,5.5,6.1
299,Jun-16,Jun,2016,5.6,5.2,6.0
300,Jul-16,Jul,2016,6.4,6.4,6.4
301,Aug-16,Aug,2016,6.2,6.0,6.4
302,Sep-16,Sep,2016,6.0,6.6,5.2
303,Oct-16,Oct,2016,6.1,6.2,6.0
304,Nov-16,Nov,2016,6.0,6.1,6.0
305,Dec-16,Dec,2016,6.4,6.0,6.9
306,Jan-17,Jan,2017,6.8,6.3,7.4
307,Feb-17,Feb,2017,6.7,6.2,7.3
308,Mar-17,Mar,2017,6.9,6.4,7.5
309,Apr-17,Apr,2017,5.9,5.5,6.3
310,May-17,May,2017,5.2,4.9,5.7
311,Jun-17,Jun,2017,5.3,5.2,5.4
312,Jul-17,Jul,2017,5.3,5.6,5.0
313,Aug-17,Aug,2017,5.8,5.9,5.6
314,Sep-17,Sep,2017,5.7,5.7,5.6
315,Oct-17,Oct,2017,5.8,5.8,5.7
316,Nov-17,Nov,2017,6.0,6.5,5.4
317,Dec-17,Dec,2017,5.7,5.5,5.9
318,Jan-18,Jan,2018,6.1,6.4,5.7
319,Feb-18,Feb,2018,6.7,6.6,6.8
320,Mar-18,Mar,2018,7.5,7.7,7.2
321,Apr-18,Apr,2018,6.5,6.5,6.5
322,May-18,May,2018,6.0,6.3,5.6
323,Jun-18,Jun,2018,5.7,6.2,5.1
324,Jul-18,Jul,2018,5.9,6.5,5.0
325,Aug-18,Aug,2018,6.4,6.4,6.3
326,Sep-18,Sep,2018,6.0,5.9,6.0
327,Oct-18,Oct,2018,5.4,5.3,5.6
328,Nov-18,Nov,2018,6.1,6.1,6.1
329,Dec-18,Dec,2018,6.3,6.6,5.9
330,Jan-19,Jan,2019,7.4,7.4,7.5
331,Feb-19,Feb,2019,6.5,6.6,6.3
332,Mar-19,Mar,2019,6.5,7.0,5.9
333,Apr-19,Apr,2019,6.1,6.3,5.8
334,May-19,May,2019,5.9,6.1,5.8
335,Jun-19,Jun,2019,5.3,5.6,4.9
336,Jul-19,Jul,2019,5.7,6.4,4.8
337,Aug-19,Aug,2019,5.8,6.0,5.5
338,Sep-19,Sep,2019,5.6,6.0,5.2
339,Oct-19,Oct,2019,5.5,5.6,5.3
340,Nov-19,Nov,2019,5.4,5.7,5.1
341,Dec-19,Dec,2019,5.3,5.3,5.2
342,Jan-20,Jan,2020,6.4,6.6,6.1
343,Feb-20,Feb,2020,5.6,5.6,5.6
344,Mar-20,Mar,2020,5.9,5.6,6.3
345,Apr-20,Apr,2020,6.2,5.8,6.5
346,May-20,May,2020,7.8,7.3,8.3
347,Jun-20,Jun,2020,8.0,8.0,7.9
348,Jul-20,Jul,2020,8.0,7.8,8.1
349,Aug-20,Aug,2020,6.9,6.7,7.0
350,Sep-20,Sep,2020,6.6,7.0,6.1
351,Oct-20,Oct,2020,6.3,6.6,6.0
352,Nov-20,Nov,2020,6.1,5.8,6.4
