,Date,Month,Year,> Australian Capital Territory ;  Unemployment rate ;  Persons ;,> Australian Capital Territory ;  Unemployment rate ;  > Males ;,> Australian Capital Territory ;  Unemployment rate ;  > Females ;
101,Dec-99,Dec,1999,4.9,5.7,4.1
102,Jan-00,Jan,2000,5.8,6.9,4.6
103,Feb-00,Feb,2000,5.5,5.3,5.7
104,Mar-00,Mar,2000,5.0,5.4,4.7
105,Apr-00,Apr,2000,4.6,5.0,4.0
106,May-00,May,2000,4.9,4.9,4.9
107,Jun-00,Jun,2000,4.3,4.9,3.7
108,Jul-00,Jul,2000,3.6,4.3,2.7
109,Aug-00,Aug,2000,3.5,4.1,2.9
110,Sep-00,Sep,2000,4.3,5.1,3.6
111,Oct-00,Oct,2000,3.5,4.3,2.7
112,Nov-00,Nov,2000,3.7,4.8,2.5
113,Dec-00,Dec,2000,3.8,4.6,3.0
114,Jan-01,Jan,2001,4.8,5.2,4.4
115,Feb-01,Feb,2001,5.5,5.9,5.1
116,Mar-01,Mar,2001,5.0,5.0,5.0
117,Apr-01,Apr,2001,5.7,6.0,5.3
118,May-01,May,2001,5.8,7.2,4.3
119,Jun-01,Jun,2001,5.6,6.7,4.4
120,Jul-01,Jul,2001,5.5,6.7,4.2
121,Aug-01,Aug,2001,4.4,5.5,3.3
122,Sep-01,Sep,2001,4.4,5.1,3.7
123,Oct-01,Oct,2001,3.9,4.9,2.8
124,Nov-01,Nov,2001,3.8,4.2,3.3
125,Dec-01,Dec,2001,4.0,5.0,2.9
126,Jan-02,Jan,2002,5.2,6.0,4.3
127,Feb-02,Feb,2002,5.0,5.4,4.5
128,Mar-02,Mar,2002,4.4,5.3,3.4
129,Apr-02,Apr,2002,4.3,4.3,4.2
130,May-02,May,2002,4.8,5.4,4.2
131,Jun-02,Jun,2002,4.5,5.1,3.9
132,Jul-02,Jul,2002,3.2,3.6,2.6
133,Aug-02,Aug,2002,4.7,5.3,4.1
134,Sep-02,Sep,2002,4.3,5.0,3.6
135,Oct-02,Oct,2002,4.1,5.1,3.1
136,Nov-02,Nov,2002,4.1,4.8,3.4
137,Dec-02,Dec,2002,2.8,3.8,1.7
138,Jan-03,Jan,2003,5.1,5.7,4.5
139,Feb-03,Feb,2003,5.5,6.1,4.9
140,Mar-03,Mar,2003,5.0,5.7,4.3
141,Apr-03,Apr,2003,3.8,3.8,3.7
142,May-03,May,2003,4.6,4.6,4.6
143,Jun-03,Jun,2003,3.8,4.2,3.5
144,Jul-03,Jul,2003,4.1,4.3,3.9
145,Aug-03,Aug,2003,4.3,4.3,4.4
146,Sep-03,Sep,2003,4.0,3.4,4.5
147,Oct-03,Oct,2003,3.4,3.4,3.3
148,Nov-03,Nov,2003,3.4,3.3,3.6
149,Dec-03,Dec,2003,3.9,4.3,3.4
150,Jan-04,Jan,2004,4.1,4.3,3.9
151,Feb-04,Feb,2004,4.2,4.2,4.2
152,Mar-04,Mar,2004,4.0,4.4,3.6
153,Apr-04,Apr,2004,4.0,4.3,3.7
154,May-04,May,2004,3.5,3.7,3.4
155,Jun-04,Jun,2004,3.2,3.3,3.1
156,Jul-04,Jul,2004,3.1,3.1,3.0
157,Aug-04,Aug,2004,4.0,4.4,3.6
158,Sep-04,Sep,2004,4.1,5.0,3.2
159,Oct-04,Oct,2004,3.4,3.9,2.7
160,Nov-04,Nov,2004,3.3,4.0,2.5
161,Dec-04,Dec,2004,3.7,4.9,2.3
162,Jan-05,Jan,2005,3.4,4.3,2.4
163,Feb-05,Feb,2005,4.2,4.7,3.6
164,Mar-05,Mar,2005,3.6,3.5,3.7
165,Apr-05,Apr,2005,3.2,3.4,2.9
166,May-05,May,2005,3.2,3.3,3.1
167,Jun-05,Jun,2005,2.9,2.7,3.1
168,Jul-05,Jul,2005,3.0,3.1,2.9
169,Aug-05,Aug,2005,2.9,2.9,2.9
170,Sep-05,Sep,2005,3.0,3.0,3.1
171,Oct-05,Oct,2005,3.5,3.3,3.7
172,Nov-05,Nov,2005,2.9,2.7,3.2
173,Dec-05,Dec,2005,3.1,2.9,3.4
174,Jan-06,Jan,2006,3.8,3.8,3.7
175,Feb-06,Feb,2006,3.9,3.6,4.4
176,Mar-06,Mar,2006,3.4,3.8,3.1
177,Apr-06,Apr,2006,3.3,4.0,2.5
178,May-06,May,2006,3.9,4.5,3.2
179,Jun-06,Jun,2006,2.5,2.8,2.1
180,Jul-06,Jul,2006,2.4,2.9,2.0
181,Aug-06,Aug,2006,3.0,3.7,2.3
182,Sep-06,Sep,2006,2.7,2.4,2.9
183,Oct-06,Oct,2006,2.6,3.0,2.2
184,Nov-06,Nov,2006,2.7,3.0,2.5
185,Dec-06,Dec,2006,2.9,2.7,3.2
186,Jan-07,Jan,2007,3.6,4.0,3.1
187,Feb-07,Feb,2007,3.1,2.9,3.3
188,Mar-07,Mar,2007,3.4,3.5,3.2
189,Apr-07,Apr,2007,3.4,3.7,3.2
190,May-07,May,2007,2.9,3.3,2.5
191,Jun-07,Jun,2007,3.0,3.0,3.0
192,Jul-07,Jul,2007,2.5,2.2,2.7
193,Aug-07,Aug,2007,2.5,2.1,2.9
194,Sep-07,Sep,2007,2.4,2.6,2.2
195,Oct-07,Oct,2007,2.3,2.3,2.2
196,Nov-07,Nov,2007,2.8,2.9,2.8
197,Dec-07,Dec,2007,1.7,1.9,1.5
198,Jan-08,Jan,2008,2.6,2.3,2.9
199,Feb-08,Feb,2008,3.2,3.4,3.0
200,Mar-08,Mar,2008,3.5,3.3,3.7
201,Apr-08,Apr,2008,3.1,3.2,3.0
202,May-08,May,2008,2.4,2.6,2.2
203,Jun-08,Jun,2008,2.3,2.5,2.1
204,Jul-08,Jul,2008,2.5,3.3,1.6
205,Aug-08,Aug,2008,3.4,3.8,3.0
206,Sep-08,Sep,2008,2.8,2.8,2.7
207,Oct-08,Oct,2008,1.9,2.4,1.4
208,Nov-08,Nov,2008,2.2,2.5,1.9
209,Dec-08,Dec,2008,2.8,2.9,2.8
210,Jan-09,Jan,2009,2.9,3.1,2.6
211,Feb-09,Feb,2009,2.5,2.3,2.7
212,Mar-09,Mar,2009,3.8,4.3,3.3
213,Apr-09,Apr,2009,2.9,3.0,2.9
214,May-09,May,2009,4.1,4.8,3.4
215,Jun-09,Jun,2009,3.6,3.9,3.3
216,Jul-09,Jul,2009,3.3,3.4,3.1
217,Aug-09,Aug,2009,3.3,3.8,2.8
218,Sep-09,Sep,2009,3.4,4.5,2.2
219,Oct-09,Oct,2009,3.5,3.7,3.3
220,Nov-09,Nov,2009,3.4,3.6,3.1
221,Dec-09,Dec,2009,3.6,4.3,2.8
222,Jan-10,Jan,2010,4.1,4.3,3.8
223,Feb-10,Feb,2010,4.6,5.2,3.9
224,Mar-10,Mar,2010,3.6,4.7,2.4
225,Apr-10,Apr,2010,3.5,4.0,2.9
226,May-10,May,2010,3.7,4.0,3.4
227,Jun-10,Jun,2010,3.2,3.2,3.2
228,Jul-10,Jul,2010,3.3,3.0,3.6
229,Aug-10,Aug,2010,2.7,2.3,3.1
230,Sep-10,Sep,2010,2.6,2.8,2.4
231,Oct-10,Oct,2010,2.9,3.4,2.5
232,Nov-10,Nov,2010,3.2,3.3,3.2
233,Dec-10,Dec,2010,3.3,3.4,3.2
234,Jan-11,Jan,2011,3.8,4.3,3.3
235,Feb-11,Feb,2011,4.1,4.0,4.2
236,Mar-11,Mar,2011,3.3,3.2,3.4
237,Apr-11,Apr,2011,4.4,5.3,3.4
238,May-11,May,2011,4.5,5.0,4.0
239,Jun-11,Jun,2011,4.1,4.3,3.8
240,Jul-11,Jul,2011,3.6,3.4,3.8
241,Aug-11,Aug,2011,3.8,4.8,2.8
242,Sep-11,Sep,2011,3.7,3.8,3.6
243,Oct-11,Oct,2011,3.3,3.6,3.0
244,Nov-11,Nov,2011,3.7,3.2,4.2
245,Dec-11,Dec,2011,3.5,4.0,3.0
246,Jan-12,Jan,2012,3.8,4.3,3.2
247,Feb-12,Feb,2012,4.0,4.0,4.0
248,Mar-12,Mar,2012,4.5,4.4,4.5
249,Apr-12,Apr,2012,2.9,3.2,2.7
250,May-12,May,2012,4.2,5.1,3.2
251,Jun-12,Jun,2012,3.8,3.9,3.7
252,Jul-12,Jul,2012,3.4,3.9,2.9
253,Aug-12,Aug,2012,3.4,3.7,3.0
254,Sep-12,Sep,2012,3.8,4.4,3.2
255,Oct-12,Oct,2012,3.9,4.5,3.3
256,Nov-12,Nov,2012,3.8,4.0,3.7
257,Dec-12,Dec,2012,4.0,4.3,3.7
258,Jan-13,Jan,2013,5.4,5.9,4.9
259,Feb-13,Feb,2013,5.2,5.1,5.3
260,Mar-13,Mar,2013,4.8,5.7,3.9
261,Apr-13,Apr,2013,4.8,5.4,4.1
262,May-13,May,2013,3.9,3.4,4.4
263,Jun-13,Jun,2013,3.6,3.4,3.9
264,Jul-13,Jul,2013,3.5,3.3,3.8
265,Aug-13,Aug,2013,3.7,4.3,3.1
266,Sep-13,Sep,2013,4.5,4.9,4.1
267,Oct-13,Oct,2013,4.0,4.0,4.1
268,Nov-13,Nov,2013,3.3,2.8,3.9
269,Dec-13,Dec,2013,3.6,3.3,3.8
270,Jan-14,Jan,2014,4.2,4.0,4.5
271,Feb-14,Feb,2014,3.7,4.0,3.3
272,Mar-14,Mar,2014,4.3,3.6,5.0
273,Apr-14,Apr,2014,3.8,3.2,4.5
274,May-14,May,2014,4.4,3.4,5.4
275,Jun-14,Jun,2014,3.4,2.4,4.4
276,Jul-14,Jul,2014,3.9,3.1,4.8
277,Aug-14,Aug,2014,5.1,4.8,5.4
278,Sep-14,Sep,2014,4.8,4.2,5.4
279,Oct-14,Oct,2014,5.7,5.5,5.9
280,Nov-14,Nov,2014,4.1,4.2,3.9
281,Dec-14,Dec,2014,4.0,3.7,4.4
282,Jan-15,Jan,2015,5.0,4.0,5.9
283,Feb-15,Feb,2015,5.5,4.5,6.6
284,Mar-15,Mar,2015,4.9,5.7,4.0
285,Apr-15,Apr,2015,4.3,4.0,4.6
286,May-15,May,2015,4.3,4.0,4.7
287,Jun-15,Jun,2015,3.6,3.5,3.7
288,Jul-15,Jul,2015,4.5,4.6,4.4
289,Aug-15,Aug,2015,5.4,5.0,5.8
290,Sep-15,Sep,2015,5.1,6.0,4.1
291,Oct-15,Oct,2015,5.0,5.2,4.7
292,Nov-15,Nov,2015,4.7,5.5,3.8
293,Dec-15,Dec,2015,4.8,5.7,3.9
