,Date,Month,Year,> Victoria ;  Unemployment rate ;  Persons ;,> Victoria ;  Unemployment rate ;  > Males ;,> Victoria ;  Unemployment rate ;  > Females ;
263,Jun-13,Jun,2013,5.6,5.9,5.4
264,Jul-13,Jul,2013,5.4,5.6,5.1
265,Aug-13,Aug,2013,5.7,5.9,5.5
266,Sep-13,Sep,2013,5.9,5.7,6.1
267,Oct-13,Oct,2013,5.8,6.1,5.6
268,Nov-13,Nov,2013,5.8,6.0,5.5
269,Dec-13,Dec,2013,6.0,5.9,6.2
270,Jan-14,Jan,2014,6.9,6.8,7.0
271,Feb-14,Feb,2014,7.2,6.5,8.0
272,Mar-14,Mar,2014,6.9,6.6,7.3
273,Apr-14,Apr,2014,6.6,6.4,6.8
274,May-14,May,2014,6.1,5.5,6.8
275,Jun-14,Jun,2014,6.3,6.3,6.3
276,Jul-14,Jul,2014,6.7,6.8,6.5
277,Aug-14,Aug,2014,6.8,6.8,6.7
278,Sep-14,Sep,2014,6.7,6.9,6.6
279,Oct-14,Oct,2014,6.6,6.6,6.6
280,Nov-14,Nov,2014,6.3,6.5,6.1
281,Dec-14,Dec,2014,6.2,6.0,6.4
282,Jan-15,Jan,2015,7.1,7.2,7.1
283,Feb-15,Feb,2015,6.3,6.0,6.6
284,Mar-15,Mar,2015,6.6,6.3,7.0
285,Apr-15,Apr,2015,6.3,6.1,6.5
286,May-15,May,2015,5.8,5.3,6.4
287,Jun-15,Jun,2015,5.7,5.2,6.3
288,Jul-15,Jul,2015,6.2,5.5,7.0
289,Aug-15,Aug,2015,6.0,5.6,6.5
290,Sep-15,Sep,2015,6.2,6.4,6.0
291,Oct-15,Oct,2015,5.4,5.3,5.4
292,Nov-15,Nov,2015,5.8,6.0,5.7
293,Dec-15,Dec,2015,5.8,5.4,6.2
294,Jan-16,Jan,2016,6.9,6.7,7.2
295,Feb-16,Feb,2016,6.2,6.0,6.4
296,Mar-16,Mar,2016,6.0,5.6,6.5
297,Apr-16,Apr,2016,5.7,5.1,6.4
298,May-16,May,2016,5.7,5.1,6.4
299,Jun-16,Jun,2016,5.4,4.9,6.0
300,Jul-16,Jul,2016,5.7,5.4,6.1
301,Aug-16,Aug,2016,5.6,5.8,5.3
302,Sep-16,Sep,2016,5.7,5.7,5.7
303,Oct-16,Oct,2016,5.5,5.7,5.3
304,Nov-16,Nov,2016,5.7,5.6,5.8
305,Dec-16,Dec,2016,5.9,5.9,5.8
306,Jan-17,Jan,2017,6.3,6.2,6.5
307,Feb-17,Feb,2017,6.3,5.8,7.0
308,Mar-17,Mar,2017,6.6,6.0,7.2
309,Apr-17,Apr,2017,6.3,5.7,6.9
310,May-17,May,2017,5.9,5.4,6.3
311,Jun-17,Jun,2017,5.6,5.3,6.0
312,Jul-17,Jul,2017,6.0,5.6,6.4
313,Aug-17,Aug,2017,6.1,5.8,6.5
314,Sep-17,Sep,2017,5.9,5.9,5.9
315,Oct-17,Oct,2017,5.4,5.1,5.7
316,Nov-17,Nov,2017,5.1,4.6,5.7
317,Dec-17,Dec,2017,6.0,5.8,6.1
318,Jan-18,Jan,2018,6.1,5.5,6.8
319,Feb-18,Feb,2018,6.0,5.5,6.5
320,Mar-18,Mar,2018,5.5,5.1,6.0
321,Apr-18,Apr,2018,5.3,4.9,5.8
322,May-18,May,2018,4.9,4.5,5.3
323,Jun-18,Jun,2018,5.3,5.3,5.2
324,Jul-18,Jul,2018,4.9,4.8,4.9
325,Aug-18,Aug,2018,4.8,4.8,4.8
326,Sep-18,Sep,2018,4.5,4.2,4.7
327,Oct-18,Oct,2018,4.2,4.1,4.4
328,Nov-18,Nov,2018,4.3,4.2,4.5
329,Dec-18,Dec,2018,4.0,4.1,4.0
330,Jan-19,Jan,2019,5.0,4.8,5.2
331,Feb-19,Feb,2019,5.1,4.9,5.3
332,Mar-19,Mar,2019,4.9,4.6,5.2
333,Apr-19,Apr,2019,5.0,4.9,5.1
334,May-19,May,2019,4.4,4.3,4.6
335,Jun-19,Jun,2019,4.5,4.3,4.8
336,Jul-19,Jul,2019,4.7,4.4,5.1
337,Aug-19,Aug,2019,5.0,4.8,5.1
338,Sep-19,Sep,2019,4.6,4.6,4.7
339,Oct-19,Oct,2019,4.5,4.3,4.7
340,Nov-19,Nov,2019,4.3,4.2,4.3
341,Dec-19,Dec,2019,4.7,4.6,4.9
342,Jan-20,Jan,2020,5.8,5.4,6.3
343,Feb-20,Feb,2020,5.7,5.6,5.8
344,Mar-20,Mar,2020,5.4,4.9,6.0
345,Apr-20,Apr,2020,6.1,6.2,6.0
346,May-20,May,2020,6.6,6.7,6.6
347,Jun-20,Jun,2020,7.1,6.8,7.5
348,Jul-20,Jul,2020,6.7,6.4,7.1
349,Aug-20,Aug,2020,7.1,6.7,7.6
350,Sep-20,Sep,2020,6.6,6.0,7.1
351,Oct-20,Oct,2020,6.9,5.8,8.1
352,Nov-20,Nov,2020,6.7,5.9,7.6
