,Date,Month,Year,Australia ;  Unemployment rate ;  Persons ;,Australia ;  Unemployment rate ;  > Males ;,Australia ;  Unemployment rate ;  > Females ;
158,Sep-04,Sep,2004,5.4,5.5,5.3
159,Oct-04,Oct,2004,4.8,4.8,4.9
160,Nov-04,Nov,2004,4.8,4.8,4.8
161,Dec-04,Dec,2004,5.0,4.9,5.1
162,Jan-05,Jan,2005,5.6,5.5,5.7
163,Feb-05,Feb,2005,5.7,5.4,6.2
164,Mar-05,Mar,2005,5.4,5.0,6.0
165,Apr-05,Apr,2005,5.2,5.0,5.5
166,May-05,May,2005,5.1,4.9,5.3
167,Jun-05,Jun,2005,4.8,4.6,5.1
168,Jul-05,Jul,2005,4.6,4.3,4.9
169,Aug-05,Aug,2005,4.7,4.7,4.7
170,Sep-05,Sep,2005,5.0,5.0,5.1
171,Oct-05,Oct,2005,4.7,4.7,4.8
172,Nov-05,Nov,2005,4.6,4.6,4.5
173,Dec-05,Dec,2005,5.0,4.9,5.0
174,Jan-06,Jan,2006,5.7,5.7,5.7
175,Feb-06,Feb,2006,5.7,5.6,5.9
176,Mar-06,Mar,2006,5.1,5.0,5.3
177,Apr-06,Apr,2006,5.0,4.8,5.3
178,May-06,May,2006,4.8,4.8,4.9
179,Jun-06,Jun,2006,4.7,4.6,4.8
180,Jul-06,Jul,2006,4.3,4.2,4.3
181,Aug-06,Aug,2006,4.5,4.4,4.6
182,Sep-06,Sep,2006,4.7,4.7,4.6
183,Oct-06,Oct,2006,4.2,4.1,4.3
184,Nov-06,Nov,2006,4.2,4.1,4.3
185,Dec-06,Dec,2006,4.5,4.1,4.9
186,Jan-07,Jan,2007,5.0,4.8,5.3
187,Feb-07,Feb,2007,5.2,4.7,5.9
188,Mar-07,Mar,2007,4.7,4.2,5.3
189,Apr-07,Apr,2007,4.5,4.0,5.0
190,May-07,May,2007,4.3,3.9,4.7
191,Jun-07,Jun,2007,4.2,3.9,4.7
192,Jul-07,Jul,2007,3.9,3.5,4.4
193,Aug-07,Aug,2007,4.1,3.8,4.5
194,Sep-07,Sep,2007,4.2,3.9,4.6
195,Oct-07,Oct,2007,4.1,3.8,4.4
196,Nov-07,Nov,2007,4.1,3.9,4.4
197,Dec-07,Dec,2007,4.2,4.1,4.4
198,Jan-08,Jan,2008,4.6,4.2,5.0
199,Feb-08,Feb,2008,4.5,4.0,5.1
200,Mar-08,Mar,2008,4.3,4.1,4.6
201,Apr-08,Apr,2008,4.3,4.1,4.6
202,May-08,May,2008,4.3,4.1,4.6
203,Jun-08,Jun,2008,4.1,3.9,4.5
204,Jul-08,Jul,2008,3.9,3.5,4.4
205,Aug-08,Aug,2008,3.9,3.6,4.2
206,Sep-08,Sep,2008,4.3,4.1,4.5
207,Oct-08,Oct,2008,4.1,3.8,4.4
208,Nov-08,Nov,2008,4.2,3.9,4.5
209,Dec-08,Dec,2008,4.4,4.4,4.4
210,Jan-09,Jan,2009,5.3,5.5,5.1
211,Feb-09,Feb,2009,6.0,5.8,6.2
212,Mar-09,Mar,2009,6.0,6.0,6.1
213,Apr-09,Apr,2009,5.6,5.7,5.4
214,May-09,May,2009,5.8,6.2,5.4
215,Jun-09,Jun,2009,5.7,6.0,5.4
216,Jul-09,Jul,2009,5.3,5.6,4.9
217,Aug-09,Aug,2009,5.5,5.6,5.4
218,Sep-09,Sep,2009,5.6,5.7,5.5
219,Oct-09,Oct,2009,5.4,5.5,5.2
220,Nov-09,Nov,2009,5.2,5.4,5.0
221,Dec-09,Dec,2009,5.3,5.4,5.3
222,Jan-10,Jan,2010,5.7,5.7,5.7
223,Feb-10,Feb,2010,6.0,5.9,6.1
224,Mar-10,Mar,2010,5.7,5.8,5.7
225,Apr-10,Apr,2010,5.5,5.4,5.7
226,May-10,May,2010,5.2,5.2,5.2
227,Jun-10,Jun,2010,5.0,4.9,5.1
228,Jul-10,Jul,2010,4.9,4.8,5.1
229,Aug-10,Aug,2010,4.8,4.6,5.2
230,Sep-10,Sep,2010,5.0,4.9,5.2
231,Oct-10,Oct,2010,5.0,4.9,5.3
232,Nov-10,Nov,2010,4.8,4.4,5.2
233,Dec-10,Dec,2010,4.7,4.4,5.1
234,Jan-11,Jan,2011,5.4,5.1,5.7
235,Feb-11,Feb,2011,5.6,5.3,6.0
236,Mar-11,Mar,2011,5.2,4.8,5.8
237,Apr-11,Apr,2011,5.0,4.8,5.2
238,May-11,May,2011,5.0,4.7,5.3
239,Jun-11,Jun,2011,4.8,4.6,5.0
240,Jul-11,Jul,2011,4.8,4.6,5.0
241,Aug-11,Aug,2011,5.1,5.1,5.1
242,Sep-11,Sep,2011,5.2,5.1,5.3
243,Oct-11,Oct,2011,5.0,5.0,4.9
244,Nov-11,Nov,2011,4.9,4.8,5.0
245,Dec-11,Dec,2011,5.0,4.7,5.4
246,Jan-12,Jan,2012,5.4,5.3,5.6
247,Feb-12,Feb,2012,5.9,5.6,6.1
248,Mar-12,Mar,2012,5.5,5.3,5.8
249,Apr-12,Apr,2012,5.0,4.8,5.2
250,May-12,May,2012,5.2,4.9,5.5
251,Jun-12,Jun,2012,5.0,4.7,5.3
252,Jul-12,Jul,2012,4.9,4.8,4.9
253,Aug-12,Aug,2012,5.0,5.1,4.9
254,Sep-12,Sep,2012,5.5,5.7,5.2
255,Oct-12,Oct,2012,5.2,5.1,5.2
256,Nov-12,Nov,2012,4.9,5.0,4.9
257,Dec-12,Dec,2012,5.2,5.2,5.3
258,Jan-13,Jan,2013,5.8,5.9,5.7
259,Feb-13,Feb,2013,6.1,6.0,6.2
260,Mar-13,Mar,2013,6.0,5.9,6.0
261,Apr-13,Apr,2013,5.6,5.5,5.7
262,May-13,May,2013,5.6,5.5,5.6
263,Jun-13,Jun,2013,5.5,5.6,5.5
264,Jul-13,Jul,2013,5.3,5.4,5.2
265,Aug-13,Aug,2013,5.7,5.7,5.6
266,Sep-13,Sep,2013,5.7,5.7,5.6
267,Oct-13,Oct,2013,5.6,5.8,5.4
268,Nov-13,Nov,2013,5.4,5.6,5.2
269,Dec-13,Dec,2013,5.7,5.8,5.5
270,Jan-14,Jan,2014,6.4,6.3,6.4
271,Feb-14,Feb,2014,6.8,6.4,7.2
272,Mar-14,Mar,2014,6.2,5.9,6.6
273,Apr-14,Apr,2014,5.8,5.7,5.9
274,May-14,May,2014,5.9,5.7,6.1
275,Jun-14,Jun,2014,5.9,5.9,5.9
276,Jul-14,Jul,2014,6.0,6.1,5.9
277,Aug-14,Aug,2014,6.0,6.0,5.9
278,Sep-14,Sep,2014,6.1,6.0,6.1
279,Oct-14,Oct,2014,6.1,6.1,6.2
280,Nov-14,Nov,2014,5.9,6.0,5.8
281,Dec-14,Dec,2014,5.9,5.8,6.0
282,Jan-15,Jan,2015,6.8,6.9,6.7
283,Feb-15,Feb,2015,6.7,6.6,6.8
284,Mar-15,Mar,2015,6.5,6.3,6.6
285,Apr-15,Apr,2015,6.1,6.0,6.2
286,May-15,May,2015,5.8,5.8,5.9
287,Jun-15,Jun,2015,5.8,5.8,5.9
288,Jul-15,Jul,2015,6.2,6.0,6.3
289,Aug-15,Aug,2015,6.1,6.2,6.0
290,Sep-15,Sep,2015,6.0,6.2,5.8
291,Oct-15,Oct,2015,5.7,5.8,5.6
292,Nov-15,Nov,2015,5.5,5.4,5.5
293,Dec-15,Dec,2015,5.5,5.5,5.6
294,Jan-16,Jan,2016,6.5,6.6,6.4
295,Feb-16,Feb,2016,6.2,6.0,6.4
296,Mar-16,Mar,2016,6.0,5.9,6.1
297,Apr-16,Apr,2016,5.7,5.5,5.9
298,May-16,May,2016,5.6,5.5,5.8
299,Jun-16,Jun,2016,5.5,5.3,5.8
300,Jul-16,Jul,2016,5.6,5.5,5.7
301,Aug-16,Aug,2016,5.6,5.6,5.6
302,Sep-16,Sep,2016,5.5,5.6,5.4
303,Oct-16,Oct,2016,5.3,5.4,5.3
304,Nov-16,Nov,2016,5.4,5.4,5.4
305,Dec-16,Dec,2016,5.6,5.7,5.5
306,Jan-17,Jan,2017,6.1,6.0,6.3
307,Feb-17,Feb,2017,6.3,6.1,6.6
308,Mar-17,Mar,2017,6.2,5.9,6.5
309,Apr-17,Apr,2017,5.7,5.3,6.1
310,May-17,May,2017,5.4,5.3,5.6
311,Jun-17,Jun,2017,5.4,5.4,5.5
312,Jul-17,Jul,2017,5.5,5.5,5.4
313,Aug-17,Aug,2017,5.5,5.5,5.5
314,Sep-17,Sep,2017,5.3,5.4,5.2
315,Oct-17,Oct,2017,5.1,5.1,5.2
316,Nov-17,Nov,2017,5.0,5.1,5.0
317,Dec-17,Dec,2017,5.4,5.6,5.2
318,Jan-18,Jan,2018,6.0,5.9,6.0
319,Feb-18,Feb,2018,6.0,5.9,6.2
320,Mar-18,Mar,2018,5.9,5.7,6.0
321,Apr-18,Apr,2018,5.6,5.5,5.7
322,May-18,May,2018,5.3,5.2,5.4
323,Jun-18,Jun,2018,5.2,5.3,5.0
324,Jul-18,Jul,2018,5.2,5.3,5.1
325,Aug-18,Aug,2018,5.3,5.2,5.3
326,Sep-18,Sep,2018,4.9,4.8,5.0
327,Oct-18,Oct,2018,4.8,4.8,4.8
328,Nov-18,Nov,2018,4.7,4.9,4.6
329,Dec-18,Dec,2018,4.8,4.9,4.7
330,Jan-19,Jan,2019,5.5,5.3,5.6
331,Feb-19,Feb,2019,5.4,5.3,5.5
332,Mar-19,Mar,2019,5.4,5.3,5.5
333,Apr-19,Apr,2019,5.3,5.2,5.4
334,May-19,May,2019,5.1,5.1,5.1
335,Jun-19,Jun,2019,5.1,5.0,5.2
336,Jul-19,Jul,2019,5.2,5.2,5.1
337,Aug-19,Aug,2019,5.3,5.4,5.1
338,Sep-19,Sep,2019,5.1,5.4,4.8
339,Oct-19,Oct,2019,5.0,5.2,4.8
340,Nov-19,Nov,2019,4.8,4.9,4.6
341,Dec-19,Dec,2019,4.8,5.1,4.5
342,Jan-20,Jan,2020,5.7,5.8,5.6
343,Feb-20,Feb,2020,5.5,5.6,5.4
344,Mar-20,Mar,2020,5.6,5.5,5.6
345,Apr-20,Apr,2020,6.4,6.6,6.2
346,May-20,May,2020,6.9,6.9,6.9
347,Jun-20,Jun,2020,7.2,7.3,7.2
348,Jul-20,Jul,2020,7.4,7.5,7.3
349,Aug-20,Aug,2020,6.8,7.1,6.6
350,Sep-20,Sep,2020,6.8,7.1,6.3
351,Oct-20,Oct,2020,6.7,6.7,6.6
352,Nov-20,Nov,2020,6.4,6.2,6.5
